metric,analysis,n_SAD,n_HC,mean_SAD,mean_HC,diff_SAD_minus_HC,cohens_d_SAD_minus_HC,hedges_g_SAD_minus_HC,rank_biserial_SAD_vs_HC,t,p,scalar_auc_abs_direction,phase,feature_space,all_subjects_adjusted_group_beta,all_subjects_adjusted_group_p,all_subjects_adjusted_model_n,q_within_phase_feature,rank_score,profile,profile_order,metric_family,interpretation,direction_summary,passes_nominal_p05,passes_family_q05
Neural_RawNorm_ThreatMinusSafety,placebo_SAD_vs_HC,23,28,-536.96875,754.8916887555804,-1291.8604387555804,-0.5036491003644858,-0.4959006526665707,-0.14596273291925466,-1.7252429946108825,0.09271342902957606,0.5729813664596273,phase2_extinction,phase2_ext_roi,-1480.9469680053094,0.005828915342754334,102,0.29843058829264374,2.4038461538461537,Q5_activation_magnitude_secondary,5,raw_pattern_norm,Derived FearNetwork profile metric.,SAD lower than HC,False,False
Neural_SafetyDispersion,placebo_SAD_vs_HC,23,28,0.7208288665426303,0.6981711840875117,0.022657682455118677,0.4354930492941614,0.4287931562280974,0.1987577639751552,1.476742843000417,0.14879578923812217,0.5993788819875776,phase2_extinction,phase2_ext_roi,0.025744242961122214,0.05751344484643703,102,0.36901355731054303,2.393665158371041,Q4_precision_dispersion,4,within_cue_dispersion,Derived FearNetwork profile metric.,SAD higher than HC,False,False
Neural_SafetyPrecision,placebo_SAD_vs_HC,23,28,-0.7208288665426303,-0.6981711840875117,-0.022657682455118677,-0.4354930492941614,-0.4287931562280974,-0.1987577639751552,-1.476742843000417,0.14879578923812217,0.5993788819875776,phase2_extinction,phase2_ext_roi,-0.025744242961122214,0.05751344484643703,102,0.36901355731054303,2.393665158371041,Q4_precision_dispersion,4,within_cue_precision,Derived FearNetwork profile metric.,SAD lower than HC,False,False
Neural_ShockEvidence_CSR_Slope,placebo_SAD_vs_HC,22,28,0.0013488128004320572,0.0004921016957405096,0.0008567111046915477,0.3721069845880548,0.3662623722646822,0.23376623376623384,1.2604874918374032,0.2152549560106566,0.6168831168831169,phase3_reinstatement,phase3_reinst_roi,0.0008347337556397114,0.20137171019943995,100,0.8842089629220995,2.3619909502262444,Q6_shock_anchor_secondary,6,shock_prototype_evidence,Derived FearNetwork profile metric.,SAD higher than HC,False,False
Neural_CV_VicariousDiscrimination,placebo_SAD_vs_HC,22,28,-0.0010951061809817192,-0.009838066474976327,0.008742960293994607,0.3237169597335126,0.3186324001565465,0.305194805194805,1.223237239519669,0.22814998166180708,0.6525974025974025,phase3_reinstatement,phase3_reinst_roi,0.006790322435875728,0.38190132926079967,100,0.8842089629220995,2.346153846153846,Q1_geometry_topology,1,split_half_geometry,Derived FearNetwork profile metric.,SAD higher than HC,False,False
Neural_CV_Dist_Safety_Background,placebo_SAD_vs_HC,23,28,1.208277835914909,1.1731785655643254,0.03509927035058347,0.35538591651487195,0.3499184408761816,0.21118012422360244,1.3131609427152429,0.1954960042694644,0.6055900621118012,phase2_extinction,phase2_ext_roi,0.03956416549458403,0.12751988242012063,102,0.44891675054469604,2.3065610859728505,Q1_geometry_topology,1,split_half_geometry,Derived FearNetwork profile metric.,SAD higher than HC,False,False
Neural_ThreatToSafetyDistanceRatio,placebo_SAD_vs_HC,22,28,1.1188906471339897,0.9663008086562156,0.15258983847777408,0.495094511707775,0.4873181581207419,0.1331168831168832,1.6748731621653707,0.10232161479397994,0.5665584415584416,phase3_reinstatement,phase3_reinst_roi,0.13744638005253362,0.29657716133121437,100,0.8842089629220995,2.2986425339366514,Q1_geometry_topology,1,normalized_geometry_ratio,Ratio of threat-safety distance to safety-background distance.,SAD higher than HC,False,False
Neural_RawNorm_ThreatMinusBackground,placebo_SAD_vs_HC,23,28,248.23193359375,823.0548793247768,-574.8229457310268,-0.34987422275644486,-0.3444915424063457,-0.19565217391304346,-1.3542204117364198,0.185131242663463,0.5978260869565217,phase2_extinction,phase2_ext_roi,-604.9127564732208,0.09778567166600273,102,0.44146680942825794,2.264705882352941,Q5_activation_magnitude_secondary,5,raw_pattern_norm,Derived FearNetwork profile metric.,SAD lower than HC,False,False
Neural_ThreatToSafetyDistanceRatio,placebo_SAD_vs_HC,23,28,1.0389048457061651,1.132691142878403,-0.09378629717223785,-0.33869161111860274,-0.33348097094754736,-0.2080745341614907,-1.2673999331101942,0.2116943738041267,0.6040372670807453,phase2_extinction,phase2_ext_roi,-0.09764817346214265,0.1375449379711384,102,0.4687518277091377,2.240950226244344,Q1_geometry_topology,1,normalized_geometry_ratio,Ratio of threat-safety distance to safety-background distance.,SAD lower than HC,False,False
Neural_Safety_LatePhaseEvidence,placebo_SAD_vs_HC,22,28,0.0028675611815531864,-0.010967817988573433,0.01383537917012662,0.31702318127917034,0.312043759583686,0.20779220779220786,1.241197355430815,0.22386693187190554,0.6038961038961039,phase3_reinstatement,phase3_reinst_roi,0.011350975656760078,0.253744412421116,100,0.8842089629220995,2.1832579185520364,Q3_learning_dynamics,3,late_phase_evidence,Mean safety evidence during the last half of extinction trials.,SAD higher than HC,False,False
Neural_SafetySpecificity,placebo_SAD_vs_HC,23,28,0.0341482733967362,0.12165237373273653,-0.08750410033600034,-0.3210830203452876,-0.3161432815707447,-0.2080745341614907,-1.184888320334874,0.24198035601523207,0.6040372670807453,phase2_extinction,phase2_ext_roi,-0.08785854931380366,0.23186011053232022,102,0.4968439112249266,2.1753393665158374,Q1_geometry_topology,1,pairwise_geometry,Derived FearNetwork profile metric.,SAD lower than HC,False,False
Neural_SafetyEvidence,placebo_SAD_vs_HC,23,28,0.5081565874819747,0.5291633348703029,-0.021006747388328195,-0.320580176017661,-0.31564817330969697,-0.2080745341614907,-1.1809610252075997,0.24348362493962059,0.6040372670807453,phase2_extinction,phase2_ext_roi,-0.021019009533647423,0.23929409647208857,102,0.4968439112249266,2.1708144796380093,Q2_decision_evidence,2,prototype_evidence,Prototype evidence that safety trials look background-like rather than threat-like.,SAD lower than HC,False,False
Neural_VicariousDiscrimination,placebo_SAD_vs_HC,22,28,3.5192331316118025e-05,-0.00838778247771689,0.008422974809033009,0.30818497769605885,0.3033443759521417,0.2142857142857142,1.183393294397638,0.24423787867322508,0.6071428571428571,phase3_reinstatement,phase3_reinst_roi,0.006330868569859795,0.34546225436201805,100,0.8842089629220995,2.1674208144796383,Q1_geometry_topology,1,composite_geometry,Composite separation of threat from safety/background after accounting for safety-background distance.,SAD higher than HC,False,False
Neural_TrialwiseEvidenceCertaintySNR,placebo_SAD_vs_HC,22,28,0.8017087974261422,0.6332560735010883,0.16845272392505395,0.5145007340255626,0.5064195706639046,0.09090909090909083,1.6793325676976631,0.10368506084940386,0.5454545454545454,phase3_reinstatement,phase3_reinst_roi,0.1556922829492369,0.07351535387031567,100,0.8842089629220995,2.1549773755656108,Q4_precision_dispersion,4,representational_certainty,Trialwise evidence margin divided by trialwise evidence variability.,SAD higher than HC,False,False
Neural_Safety_LatePhaseEvidence,placebo_SAD_vs_HC,23,28,-0.010981043387552802,0.02614333607882114,-0.03712437946637394,-0.3174080808759914,-0.3125248796317454,-0.21118012422360244,-1.1684660827382605,0.2484219556124633,0.6055900621118012,phase2_extinction,phase2_ext_roi,-0.04334379449477473,0.15389048010421894,102,0.4968439112249266,2.1549773755656108,Q3_learning_dynamics,3,late_phase_evidence,Mean safety evidence during the last half of extinction trials.,SAD lower than HC,False,False
Neural_TrialwiseEvidenceMargin,placebo_SAD_vs_HC,22,28,0.015997226845726367,0.013402196737824184,0.0025950301079021836,0.333293787890039,0.3280588069284154,0.1655844155844155,1.1467957350237032,0.25807782621124953,0.5827922077922078,phase3_reinstatement,phase3_reinst_roi,0.0019036574493446745,0.5097392110807895,100,0.8842089629220995,2.0475113122171944,Q4_precision_dispersion,4,representational_certainty,Mean signed trialwise distance from the safety/threat decision boundary.,SAD higher than HC,False,False
Neural_Safety_LearningAUC,placebo_SAD_vs_HC,22,28,0.0018674075599898288,-0.012780313097008472,0.0146477206569983,0.3395712626610765,0.3342376826192795,0.13311688311688297,1.3398233107615083,0.19083581887542558,0.5665584415584415,phase3_reinstatement,phase3_reinst_roi,0.01201811284707907,0.20840389409290952,100,0.8842089629220995,2.0282805429864252,Q3_learning_dynamics,3,trajectory_auc,Mean safety evidence across extinction trials.,SAD higher than HC,False,False
Neural_Safety_LearningAUC,placebo_SAD_vs_HC,23,28,0.013832458390515494,0.04259348269202099,-0.028761024301505497,-0.2937784814022865,-0.28925881245763596,-0.18012422360248448,-1.0946758337204963,0.2794711320700429,0.5900621118012422,phase2_extinction,phase2_ext_roi,-0.030230979981286373,0.24155620229285674,102,0.5250669754043231,1.995475113122172,Q3_learning_dynamics,3,trajectory_auc,Mean safety evidence across extinction trials.,SAD lower than HC,False,False
Neural_RawMean_SafetyMinusBackground,placebo_SAD_vs_HC,22,28,-2.780318923294544,-10.02631230013711,7.245993376842566,0.3334746929955126,0.3282368705924417,0.1298701298701299,1.2739690489711777,0.2103413345098364,0.564935064935065,phase3_reinstatement,phase3_reinst_roi,6.379608129118944,0.2092552846009742,100,0.8842089629220995,1.9615384615384617,Q5_activation_magnitude_secondary,5,raw_activation_mean,Derived FearNetwork profile metric.,SAD higher than HC,False,False
Neural_SafetyEvidence,placebo_SAD_vs_HC,22,28,0.5004815545301272,0.49648593363614113,0.003995620893986085,0.33986507355353823,0.3345268786809696,0.1071428571428572,1.339818532968896,0.1907467982560319,0.5535714285714286,phase3_reinstatement,phase3_reinst_roi,0.003267364704419193,0.2124600019224972,100,0.8842089629220995,1.9332579185520362,Q2_decision_evidence,2,prototype_evidence,Prototype evidence that safety trials look background-like rather than threat-like.,SAD higher than HC,False,False
Neural_ThreatVsBackgroundSpecificity,placebo_SAD_vs_HC,22,28,-0.0037822836365657116,0.011548699626235087,-0.015330983262800798,-0.3345624481880568,-0.32930754062489365,-0.11688311688311681,-1.2908959405184106,0.2051180449209051,0.5584415584415584,phase3_reinstatement,phase3_reinst_roi,-0.013640456985485348,0.1757328119727168,100,0.8842089629220995,1.927601809954751,Q1_geometry_topology,1,pairwise_geometry,Derived FearNetwork profile metric.,SAD lower than HC,False,False
Neural_SafetySpecificity,placebo_SAD_vs_HC,22,28,0.0019263341495989739,-0.014162132290834434,0.016088466440433408,0.33915760102598647,0.33383051828735844,0.1071428571428572,1.3371820226431834,0.19160720257122418,0.5535714285714286,phase3_reinstatement,phase3_reinst_roi,0.013151097062602469,0.21292512947171688,100,0.8842089629220995,1.915158371040724,Q1_geometry_topology,1,pairwise_geometry,Derived FearNetwork profile metric.,SAD higher than HC,False,False
Neural_RawMean_ThreatMinusBackground,placebo_SAD_vs_HC,22,28,-3.1539741937409747,-9.941050014857735,6.78707582111676,0.3278762920751799,0.32272640267085767,0.11038961038961048,1.2293618158120576,0.2255584231723684,0.5551948051948052,phase3_reinstatement,phase3_reinst_roi,5.682195584980688,0.2621325908620136,100,0.8842089629220995,1.8699095022624435,Q5_activation_magnitude_secondary,5,raw_activation_mean,Derived FearNetwork profile metric.,SAD higher than HC,False,False
Neural_RawMean_ThreatMinusSafety,placebo_SAD_vs_HC,23,28,-3.401969393958216,2.0755781744207655,-5.477547568378982,-0.28609038373881357,-0.28168899321975494,-0.14596273291925466,-1.0509360388393656,0.29854458322676813,0.5729813664596273,phase2_extinction,phase2_ext_roi,-5.700799940489792,0.2313552522506618,102,0.528850404573132,1.8495475113122173,Q5_activation_magnitude_secondary,5,raw_activation_mean,Derived FearNetwork profile metric.,SAD lower than HC,False,False
Neural_PrototypeEvidenceMargin,placebo_SAD_vs_HC,22,28,0.004596826630101174,0.0038847358675355953,0.0007120907625655791,0.2931144738064996,0.28851058154775877,0.13961038961038952,1.0089638366278648,0.3188638235161949,0.5698051948051948,phase3_reinstatement,phase3_reinst_roi,0.0004773359200751434,0.6641809516869595,100,0.8842089629220995,1.816742081447964,Q4_precision_dispersion,4,representational_certainty,Mean signed distance from ambiguous prototype evidence for safety and threat cues.,SAD higher than HC,False,False
