n_SAD,n_HC,mean_SAD,mean_HC,diff_SAD_minus_HC,cohens_d_SAD_minus_HC,p,phase,index,trial,analysis,q_within_index
22,28,0.004720678060093753,0.010485377702636472,-0.005764699642542719,-0.12634971163327754,0.6284165788208321,phase3_reinstatement,CSR_cue_threat_proximity,3,trial_specific_group_difference,0.7181903757952367
22,28,-0.0004965176242197043,0.010963031150813166,-0.01145954877503287,-0.2494660999368361,0.34807868193713065,phase3_reinstatement,CSR_cue_threat_proximity,4,trial_specific_group_difference,0.6961573638742613
22,28,-0.0009616785737702557,0.004260881988515236,-0.005222560562285492,-0.1472052128642886,0.592739983418492,phase3_reinstatement,CSR_cue_threat_proximity,5,trial_specific_group_difference,0.7181903757952367
22,28,-0.005736196318226555,0.011847755951954904,-0.01758395227018146,-0.36891730870666256,0.1650787949196983,phase3_reinstatement,CSR_cue_threat_proximity,6,trial_specific_group_difference,0.6961573638742613
22,28,0.0005588450871922727,-0.0009363659069756421,0.001495210994167915,0.033090159083964565,0.8987879433192554,phase3_reinstatement,CSR_cue_threat_proximity,7,trial_specific_group_difference,0.8987879433192554
22,28,-0.002013481995489825,0.011766329872965482,-0.013779811868455307,-0.27809074924931976,0.29212531256287316,phase3_reinstatement,CSR_cue_threat_proximity,8,trial_specific_group_difference,0.6961573638742613
22,28,-1.9202628904339187,-1.9057499065627652,-0.014512983871153518,-0.3478777304230825,0.20246144115274364,phase3_reinstatement,CSR_shock_distance_inverted,1,trial_specific_group_difference,0.6956959657933495
22,28,-1.899732423851319,-1.8938614605314772,-0.0058709633198417155,-0.1090088114668339,0.6956959657933495,phase3_reinstatement,CSR_shock_distance_inverted,2,trial_specific_group_difference,0.6956959657933495
22,28,-1.9058332277286434,-1.8972968545047302,-0.008536373223913207,-0.14637663199445264,0.5881496015067411,phase3_reinstatement,CSR_shock_distance_inverted,3,trial_specific_group_difference,0.6956959657933495
22,28,-1.8926051371056267,-1.9163202509708381,0.023715113865211412,0.45341366119645793,0.14037124928608877,phase3_reinstatement,CSR_shock_distance_inverted,4,trial_specific_group_difference,0.6956959657933495
22,28,-1.8991065523248742,-1.8774420193607209,-0.021664532964153382,-0.2769879425738873,0.29669467106412967,phase3_reinstatement,CSR_shock_distance_inverted,5,trial_specific_group_difference,0.6956959657933495
22,28,-1.9036900648508703,-1.897867717509729,-0.005822347341141398,-0.11279607258739667,0.6794396469086248,phase3_reinstatement,CSR_shock_distance_inverted,6,trial_specific_group_difference,0.6956959657933495
22,28,-1.876684651440424,-1.8898095387553373,0.013124887314913236,0.15878010497767783,0.5894836194748498,phase3_reinstatement,CSR_shock_distance_inverted,7,trial_specific_group_difference,0.6956959657933495
22,28,-1.8781920115846231,-1.889859358031513,0.011667346446889937,0.17597856432416703,0.5430124721428449,phase3_reinstatement,CSR_shock_distance_inverted,8,trial_specific_group_difference,0.6956959657933495
22,28,-1.8207710820388991,-1.7805294863308103,-0.04024159570808883,-0.38796179982667234,0.15352967981983487,phase3_reinstatement,CSR_shock_proximity,1,trial_specific_group_difference,0.7566318153400639
22,28,-1.7807127628654968,-1.7558052604338947,-0.024907502431602113,-0.20014505298502908,0.46814682511190486,phase3_reinstatement,CSR_shock_proximity,2,trial_specific_group_difference,0.7566318153400639
22,28,-1.790314693446976,-1.7645224926883,-0.025792200758675943,-0.19231610426807202,0.4749674978577869,phase3_reinstatement,CSR_shock_proximity,3,trial_specific_group_difference,0.7566318153400639
22,28,-1.7663069989246412,-1.8038500309557988,0.03754303203115761,0.31062294857986433,0.29110477735639234,phase3_reinstatement,CSR_shock_proximity,4,trial_specific_group_difference,0.7566318153400639
22,28,-1.7789600131549645,-1.7290559513750392,-0.049904061779925346,-0.2983381566231938,0.2616150176014982,phase3_reinstatement,CSR_shock_proximity,5,trial_specific_group_difference,0.7566318153400639
22,28,-1.785605985517446,-1.7667107531722024,-0.018895232345243596,-0.15510924763433762,0.5674738615050479,phase3_reinstatement,CSR_shock_proximity,6,trial_specific_group_difference,0.7566318153400639
22,28,-1.7324613382619238,-1.7536959811210084,0.021234642859084607,0.11778892148231244,0.6867054823343177,phase3_reinstatement,CSR_shock_proximity,7,trial_specific_group_difference,0.7654855048196114
22,28,-1.7375764859812355,-1.7504051835625682,0.01282869758133276,0.08496465686961456,0.7654855048196114,phase3_reinstatement,CSR_shock_proximity,8,trial_specific_group_difference,0.7654855048196114
22,28,-0.12166701238568627,-0.115475667392274,-0.0061913449934122705,-0.0861926368953726,0.7607601331276341,phase3_reinstatement,CSS_safety_distance_inverted,1,trial_specific_group_difference,0.8607666500982817
22,28,-0.11359781350925835,-0.1361768210541612,0.022579007544902857,0.29916738113909974,0.2678595778737961,phase3_reinstatement,CSS_safety_distance_inverted,2,trial_specific_group_difference,0.7142922076634562
22,28,-0.10914449848451441,-0.1341830732208559,0.025038574736341496,0.32153192172278106,0.22891916659028066,phase3_reinstatement,CSS_safety_distance_inverted,3,trial_specific_group_difference,0.7142922076634562
