metric,cue,contrast,window,trial,SAD_minus_HC_d,t,p,SAD_mean,HC_mean,SAD_n,HC_n
target_congruent_forced_choice,CSS,SAD-HC,trial_6,6.0,0.12461829419551679,0.4278286664366394,0.6710297580623243,0.6444634639682179,0.6164708458180413,22,28
target_congruent_forced_choice,CSS,SAD-HC,trial_7,7.0,0.0794665211472546,0.27252948803276716,0.7866001059597165,0.6148443559702483,0.5966057249963947,22,28
target_congruent_forced_choice,CSS,SAD-HC,trial_8,8.0,0.005604553007308919,0.019663924121382948,0.9843980721871741,0.622132419836635,0.6206518104600953,22,28
target_congruent_forced_choice,CSR,SAD-HC,early_1_2,,-0.10979871501784354,-0.3782638447989059,0.7071624027748349,-0.632093308032532,-0.6071000401161714,22,28
target_congruent_forced_choice,CSR,SAD-HC,mid_3_6,,-0.1505179795338323,-0.5248100317723997,0.602348309602856,-0.6456929596681816,-0.6168203083907303,22,28
target_congruent_forced_choice,CSR,SAD-HC,late_5_8,,-0.024848242261785964,-0.08763253436797086,0.9305490808006889,-0.6273152364234857,-0.6223638384780161,22,28
target_congruent_forced_choice,CSR,SAD-HC,all_1_8,,-0.104943761249381,-0.3648984553366643,0.7169563227492635,-0.6360297998922334,-0.6152445451802063,22,28
target_congruent_forced_choice,CSR,SAD-HC,analysis_3_8,,-0.09999114599602418,-0.3498814691007172,0.7280711022590189,-0.637341963845467,-0.6179593802015513,22,28
target_congruent_forced_choice,CSS,SAD-HC,early_1_2,,0.010747826704303487,0.03746746398936277,0.9702818105055196,0.642963915865981,0.6408933080049921,22,28
target_congruent_forced_choice,CSS,SAD-HC,mid_3_6,,0.06446998838166541,0.2191646940401168,0.8276808995368159,0.6511113662448769,0.6385054192016624,22,28
target_congruent_forced_choice,CSS,SAD-HC,late_5_8,,0.06868945488380122,0.23385142369327683,0.8163299409473995,0.6398457728688616,0.6260778393674016,22,28
target_congruent_forced_choice,CSS,SAD-HC,all_1_8,,0.04843483789718642,0.16544629955328008,0.8694350617933668,0.6409187590647941,0.6316332285341407,22,28
target_congruent_forced_choice,CSS,SAD-HC,analysis_3_8,,0.059439467575773175,0.20204165666108187,0.8409499360451947,0.6402370401310652,0.62854653537719,22,28
forced_choice_safety_minus_threat,CSR,SAD-HC,trial_1,1.0,0.12434378307461152,0.4337438367128964,0.6665885339037361,0.6516948939025679,0.6204850830741994,22,28
forced_choice_safety_minus_threat,CSR,SAD-HC,trial_2,2.0,0.07314771203639014,0.25441645128821694,0.8003717380947365,0.6124917221624963,0.5937149971581432,22,28
forced_choice_safety_minus_threat,CSR,SAD-HC,trial_3,3.0,0.29188154713301817,1.026476011238396,0.31008614940904233,0.6620363515274352,0.5987260447192115,22,28
forced_choice_safety_minus_threat,CSR,SAD-HC,trial_4,4.0,0.16443393183178123,0.5709263401473998,0.5710090771012919,0.6527544858514247,0.619574882578032,22,28
forced_choice_safety_minus_threat,CSR,SAD-HC,trial_5,5.0,-0.042793750143481545,-0.15045878706277147,0.8810673621027103,0.619675012394801,0.629536083243822,22,28
forced_choice_safety_minus_threat,CSR,SAD-HC,trial_6,6.0,0.14104170437252628,0.49772077522031594,0.6210469467564279,0.6483059888990655,0.6194442230218554,22,28
forced_choice_safety_minus_threat,CSR,SAD-HC,trial_7,7.0,-0.14801169580541207,-0.5127381359773744,0.6107765824468732,0.5837062127652588,0.6163120703164154,22,28
forced_choice_safety_minus_threat,CSR,SAD-HC,trial_8,8.0,0.13992233850973074,0.5060022054224361,0.6151712447463458,0.6575737316348179,0.6241629773299715,22,28
forced_choice_safety_minus_threat,CSS,SAD-HC,trial_1,1.0,-0.06499823668598187,-0.22717684927424092,0.8213271068220964,0.627426412388643,0.6415404586657784,22,28
forced_choice_safety_minus_threat,CSS,SAD-HC,trial_2,2.0,0.10017719829306317,0.3475369209733384,0.7298829800043072,0.658501419343319,0.6402461573442061,22,28
forced_choice_safety_minus_threat,CSS,SAD-HC,trial_3,3.0,0.10752708893252312,0.37082454821598854,0.7126437902518648,0.6665426356266975,0.6436710928828564,22,28
forced_choice_safety_minus_threat,CSS,SAD-HC,trial_4,4.0,-0.03358051581641976,-0.11568246273948532,0.9084622033552108,0.6154965136842478,0.6232967619106768,22,28
forced_choice_safety_minus_threat,CSS,SAD-HC,trial_5,5.0,0.03796446203760967,0.1289048937606937,0.8981096692188683,0.6779428517003451,0.6705829761950748,22,28
forced_choice_safety_minus_threat,CSS,SAD-HC,trial_6,6.0,0.12461829419551679,0.4278286664366394,0.6710297580623243,0.6444634639682179,0.6164708458180413,22,28
forced_choice_safety_minus_threat,CSS,SAD-HC,trial_7,7.0,0.0794665211472546,0.27252948803276716,0.7866001059597165,0.6148443559702483,0.5966057249963947,22,28
forced_choice_safety_minus_threat,CSS,SAD-HC,trial_8,8.0,0.005604553007308919,0.019663924121382948,0.9843980721871741,0.622132419836635,0.6206518104600953,22,28
forced_choice_safety_minus_threat,CSR,SAD-HC,early_1_2,,0.10979871501784354,0.3782638447989059,0.7071624027748349,0.632093308032532,0.6071000401161714,22,28
forced_choice_safety_minus_threat,CSR,SAD-HC,mid_3_6,,0.1505179795338323,0.5248100317723997,0.602348309602856,0.6456929596681816,0.6168203083907303,22,28
forced_choice_safety_minus_threat,CSR,SAD-HC,late_5_8,,0.024848242261785964,0.08763253436797086,0.9305490808006889,0.6273152364234857,0.6223638384780161,22,28
forced_choice_safety_minus_threat,CSR,SAD-HC,all_1_8,,0.104943761249381,0.3648984553366643,0.7169563227492635,0.6360297998922334,0.6152445451802063,22,28
forced_choice_safety_minus_threat,CSR,SAD-HC,analysis_3_8,,0.09999114599602418,0.3498814691007172,0.7280711022590189,0.637341963845467,0.6179593802015513,22,28
forced_choice_safety_minus_threat,CSS,SAD-HC,early_1_2,,0.010747826704303487,0.03746746398936277,0.9702818105055196,0.642963915865981,0.6408933080049921,22,28
forced_choice_safety_minus_threat,CSS,SAD-HC,mid_3_6,,0.06446998838166541,0.2191646940401168,0.8276808995368159,0.6511113662448769,0.6385054192016624,22,28
forced_choice_safety_minus_threat,CSS,SAD-HC,late_5_8,,0.06868945488380122,0.23385142369327683,0.8163299409473995,0.6398457728688616,0.6260778393674016,22,28
forced_choice_safety_minus_threat,CSS,SAD-HC,all_1_8,,0.04843483789718642,0.16544629955328008,0.8694350617933668,0.6409187590647941,0.6316332285341407,22,28
forced_choice_safety_minus_threat,CSS,SAD-HC,analysis_3_8,,0.059439467575773175,0.20204165666108187,0.8409499360451947,0.6402370401310652,0.62854653537719,22,28
safety_sim_csminus,CSR,SAD-HC,trial_1,1.0,0.03864771197893754,0.1333341143454541,0.8945686808878129,0.7559927332971553,0.7508213791814082,22,28
safety_sim_csminus,CSR,SAD-HC,trial_2,2.0,-0.02469327755152433,-0.0869578333504639,0.9310842776767101,0.724732680861093,0.7291152495896824,22,28
safety_sim_csminus,CSR,SAD-HC,trial_3,3.0,0.4406185548358572,1.6380182436345168,0.10835487840868535,0.7913821319860169,0.7445740505907493,22,28
safety_sim_csminus,CSR,SAD-HC,trial_4,4.0,0.15782078830124222,0.5860949949501612,0.5607117927935248,0.7839463492181094,0.7714108691572756,22,28
safety_sim_csminus,CSR,SAD-HC,trial_5,5.0,0.051984362310190935,0.187545985751336,0.8520233808834454,0.7604949851293746,0.754794783814564,22,28
safety_sim_csminus,CSR,SAD-HC,trial_6,6.0,0.1470452830113126,0.5289591149716736,0.5992759722016496,0.7801615700684504,0.7656868704637019,22,28
safety_sim_csminus,CSR,SAD-HC,trial_7,7.0,-0.2267703937898787,-0.8223091342220444,0.41497000573895915,0.7294472418637753,0.7537612406872879,22,28
safety_sim_csminus,CSR,SAD-HC,trial_8,8.0,0.2193263411863572,0.8293920502771469,0.41165727202976976,0.7629292057214688,0.7302017454607687,22,28
safety_sim_csminus,CSS,SAD-HC,trial_1,1.0,-0.22333288675580243,-0.7653037186305216,0.4485492116402464,0.7743162358546737,0.797661693050956,22,28
safety_sim_csminus,CSS,SAD-HC,trial_2,2.0,-0.022274181585650504,-0.07943701157002893,0.9370197018619133,0.7743009911744333,0.7763370095425033,22,28
safety_sim_csminus,CSS,SAD-HC,trial_3,3.0,0.22607128528633688,0.8218488259749859,0.41523594979308154,0.7863277587904732,0.7637868834497985,22,28
safety_sim_csminus,CSS,SAD-HC,trial_4,4.0,-0.06173871052260719,-0.22281302164885855,0.8246266972520988,0.7523019157193047,0.7599415113420616,22,28
safety_sim_csminus,CSS,SAD-HC,trial_5,5.0,0.24798170773178307,0.8770827407952646,0.38495855018271496,0.8076458775562213,0.788859357379876,22,28
