metric,n_tests,best_p,best_q,median_abs_d,max_abs_d,median_abs_g,max_abs_g,max_abs_rank_biserial,median_auc,best_rank_score
Neural_ThreatTriangleOpenness,6,0.0389890224141136,0.23384772722873248,0.2930772606419671,0.5984203285001198,0.28855686478725895,0.5892138619078103,0.2950310559006212,0.6007199322416714,2.8868778280542986
Neural_Threat_Safety_Distance,6,0.0389890224141136,0.23384772722873248,0.2930772606419671,0.5984203285001198,0.28855686478725895,0.5892138619078103,0.2950310559006212,0.6007199322416714,2.8868778280542986
Neural_ThreatToBackgroundDistanceRatio,6,0.05017259333181826,0.23384772722873248,0.34825043007427503,0.5370295072689882,0.34285738081859773,0.5287675148494654,0.3012422360248448,0.5893210050818747,2.839366515837104
Neural_ShockEvidence_CSR_Slope,2,0.0747116968001512,0.7759526161243904,0.45083692785075763,0.5295668711134605,0.443755719559908,0.5212490668551338,0.35064935064935066,0.6461038961038961,2.8099547511312215
Neural_VicariousDiscrimination,6,0.05701579274685465,0.23384772722873248,0.3830841882053149,0.5296038713103645,0.37714093811247507,0.5214561194440512,0.2795031055900621,0.6110248447204969,2.7963800904977374
Neural_RawMean_SafetyMinusBackground,6,0.058051820676217586,0.29843058829264374,0.3404855904555974,0.5431286746723434,0.33519268354942505,0.5347728489081535,0.2515527950310559,0.5746047430830039,2.7861990950226243
Neural_Dist_Safety_Background,6,0.06032396548543892,0.23384772722873248,0.35074092129555284,0.5190223656908337,0.3453043625231428,0.5110374062186671,0.2795031055900621,0.6013198757763976,2.7828054298642533
Neural_SafetySimilarity_Background,6,0.06032396548544056,0.23384772722873248,0.35074092129554996,0.5190223656908303,0.3453043625231399,0.5110374062186637,0.2795031055900621,0.6013198757763976,2.7782805429864252
Neural_ThreatAxisSeparation,6,0.06118450440028654,0.5765215951004674,0.2446736765658698,0.5489649251885429,0.24086955029528684,0.5403424394525972,0.23051948051948057,0.5620059288537549,2.75
Neural_Safety_ThreatAxisProjection,6,0.06118450440028673,0.5765215951004674,0.2446736765658696,0.5489649251885425,0.24086955029528664,0.5403424394525967,0.23051948051948057,0.5620059288537549,2.745475113122172
Neural_Dist_Threat_Background,6,0.061859262901710746,0.23384772722873248,0.39377726272741354,0.5726310946184732,0.38767065576391846,0.5638213854704966,0.22670807453416153,0.5631352343308864,2.744343891402715
Neural_SafetyVsBackgroundDispersion,6,0.07652133438687383,0.26850432544601416,0.3464587092940488,0.5246149098716433,0.34109614019157697,0.5165439112582334,0.2795031055900621,0.5807806324110671,2.742081447963801
Neural_ThreatEvidence,6,0.06875854319009343,0.23384772722873248,0.39638894698997906,0.5663263354130368,0.3902421223938727,0.5576136225605286,0.22670807453416153,0.5631352343308864,2.728506787330317
Neural_ThreatEvidenceCertainty,6,0.06875854319009343,0.23384772722873248,0.3963889469899664,0.5663263354130368,0.39024212239386025,0.5576136225605286,0.22670807453416153,0.5631352343308864,2.728506787330317
Neural_PrototypeEvidenceMargin,6,0.07143734795742673,0.23384772722873248,0.3619634451105095,0.5004531583836173,0.356347557316412,0.4927538790238693,0.2546583850931676,0.5838156408808582,2.7217194570135748
Neural_Threat_Volatility,6,0.052733824096260436,0.28846815487659727,0.29779719125730136,0.5322713025272776,0.29317862889569146,0.5240825132576272,0.21739130434782605,0.581345285149633,2.7194570135746607
Neural_BoundaryCertainty,6,0.07143734795742714,0.23384772722873248,0.3619634451105094,0.5004531583836166,0.3563475573164119,0.4927538790238687,0.2546583850931676,0.5838156408808582,2.7149321266968327
Neural_BoundarySeparation,6,0.07143734795742714,0.23384772722873248,0.3619634451105094,0.5004531583836166,0.3563475573164119,0.4927538790238687,0.2546583850931676,0.5838156408808582,2.7149321266968327
Neural_RawNorm_ThreatMinusBackground,6,0.07166301318299867,0.23384772722873248,0.31718146173204786,0.4827731993277133,0.31225591710117906,0.4753459193380562,0.28881987577639745,0.5805688876341051,2.7149321266968327
Neural_Safety_Volatility,6,0.10087413681278774,0.2731893597548775,0.25258320567075254,0.46643086233527753,0.2486618718609431,0.4592550029147348,0.2795031055900622,0.5756987577639752,2.6447963800904977
Neural_DynamicDiscrimination_InitialFinal_Change,6,0.1181619017303234,0.7759526161243904,0.13546388416259847,0.44565438228260357,0.13335668851869095,0.43865457523104434,0.3214285714285714,0.5698757763975155,2.6221719457013575
Neural_Threat_Trajectory_Slope,6,0.11582868193584883,0.7759526161243904,0.18993273298472738,0.4640455325050253,0.18696865747706046,0.45675685921960607,0.2889610389610391,0.5683229813664596,2.615384615384615
Neural_SafetyDispersion,6,0.10134443990906747,0.2731893597548775,0.42440488020240325,0.4953434648776571,0.4178089909119578,0.48772279618723163,0.27597402597402576,0.59472049689441,2.5294117647058827
Neural_SafetyPrecision,6,0.10134443990906747,0.2731893597548775,0.42440488020240325,0.4953434648776571,0.4178089909119578,0.48772279618723163,0.275974025974026,0.5947204968944099,2.5294117647058827
