phase,metric,summary,n_SAD,n_HC,mean_SAD,mean_HC,diff_SAD_minus_HC,cohens_d_SAD_minus_HC,hedges_g_SAD_minus_HC,t,p,q_within_phase_summary
phase2_extinction,CSS_SafetyTarget_Proximity,early_late_change,23,28,-0.04962700355613661,-0.03290029322639969,-0.016726710329736924,-0.11644311032100865,-0.1146516778545316,-0.42541688019722396,0.672408119964502,0.8068897439574023
phase2_extinction,CSS_SafetyTarget_Proximity,initial_final_change,23,28,-0.022896737513941917,0.015106178815408183,-0.0380029163293501,-0.14733337523395715,-0.14506670792266552,-0.5262576103644028,0.6011361812043272,0.9017042718064908
phase2_extinction,CSS_SafetyTarget_Proximity,slope,23,28,-0.011115058578414647,-0.00434917006259087,-0.006765888515823776,-0.21284062825383274,-0.20956615704992762,-0.7810460599897421,0.438595360144981,0.6578930402174715
phase2_extinction,CSS_to_CSR_NonTarget_Distance,auc_mean,23,28,1.142664474747339,1.1591426218750585,-0.016478147127719556,-0.33053679431766947,-0.32545161286662844,-1.1907160435791162,0.2395244571969204,0.7131211256304717
phase2_extinction,CSS_to_CSR_NonTarget_Distance,early_late_change,23,28,-0.02277962628417745,-0.021200327570154807,-0.001579298714022643,-0.01707170577373486,-0.01680906414644663,-0.06006020403840533,0.952373866877769,0.952373866877769
phase2_extinction,CSS_to_CSR_NonTarget_Distance,initial_final_change,23,28,0.0072598928601475855,-0.005281461138202929,0.012541353998350515,0.06442976524980751,0.06343853809211816,0.2181461667335326,0.8286139431782497,0.9131871637701594
phase2_extinction,CSS_to_CSR_NonTarget_Distance,slope,23,28,-0.0038366527681150384,-0.003155696032629607,-0.0006809567354854316,-0.030695028797812364,-0.03022279758553833,-0.10721878661898425,0.9151126603553008,0.9151126603553008
phase2_extinction,CSS_to_CSminus_Distance,auc_mean,23,28,1.1288320163568235,1.1165491391830373,0.012282877173786177,0.19481942424369403,0.19182220233225258,0.7194484665800485,0.4754140837536478,0.7131211256304717
phase2_extinction,CSS_to_CSminus_Distance,early_late_change,23,28,0.02684737727195911,0.011699965656244862,0.015147411615714248,0.16947609236699082,0.16686876786903712,0.6159506141982368,0.5407802058520221,0.8068897439574023
phase2_extinction,CSS_to_CSminus_Distance,initial_final_change,23,28,0.030156630374089503,-0.020387639953611113,0.05054427032770062,0.2619392339408837,0.2579093995725624,0.8996890815254582,0.37390643638384347,0.7478128727676869
phase2_extinction,CSS_to_CSminus_Distance,slope,23,28,0.007278405810299606,0.0011934740299612632,0.006084931780338343,0.29452024817905864,0.28998916743784237,1.042163127702698,0.30275127399036517,0.6578930402174715
phase3_reinstatement,CSR_CueThreatTarget_Proximity,auc_mean,22,28,-0.00034153370620864515,0.008785865050107498,-0.009127398756316144,-0.22118458394092524,-0.21771048052824057,-0.8669903346586555,0.39270155556476316,0.9554300510798217
phase3_reinstatement,CSR_CueThreatTarget_Proximity,early_late_change,22,28,-0.0033931884877298948,-0.004102429146985017,0.0007092406592551226,0.054008445117584604,0.05316014493249165,0.1935650306511957,0.8473377585608098,0.9519705936961539
