status,outcome,term,estimate,std_error,t,p,ci_low,ci_high,n,r2,formula,analysis,session,Group,metric,metric_z,clinical_score,clinical_score_z,clinical_outlier_method,metric_outlier_method,clinical_outlier_threshold,n_clinical_outliers_removed,n_metric_outliers_removed,covariates_used,covariate_outliers_removed,clinical_score_order,clinical_score_role,clinical_score_family,clinical_score_label,metric_order,metric_role,aim2_question,aim2_question_label,is_primary_clinical_score,is_primary_neural_metric,q_within_group_question,q_within_group_clinical_score
ok,z_ecr_total,Q('z_Neural_DynamicDiscrimination_Volatility'),0.37061145518273847,0.22522031874328724,1.6455507089712111,0.1162986326340589,-0.1007800894884579,0.8420029998539349,23,0.15471076633350722,Q('z_ecr_total') ~ Q('z_Neural_DynamicDiscrimination_Volatility') + Q('z_demo_age') + C(Q('Gender')),PrimaryRepresentativeNeural_Aim3_Groupwise_Placebo_ZOLS,Placebo,SAD,Neural_DynamicDiscrimination_Volatility,z_Neural_DynamicDiscrimination_Volatility,ecr_total,z_ecr_total,fearnetwork_stage29_zscore,fearnetwork_stage29_zscore,3.0,0,0,"z_demo_age,Gender",demo_age:0,7,secondary,attachment,ECR total,3,primary,Q3_learning_dynamics,How do safety and threat representations change over learning?,False,True,0.7899692103492679,0.34889589790217673
ok,z_dass_anxiety,Q('z_Neural_Threat_Safety_Distance'),-0.11400983117980831,0.2108606762105174,-0.5406879709803457,0.5939208461317215,-0.5502083737608003,0.32218871140118366,27,0.025021845740154647,Q('z_dass_anxiety') ~ Q('z_Neural_Threat_Safety_Distance') + Q('z_demo_age') + C(Q('Gender')),PrimaryRepresentativeNeural_Aim3_Groupwise_Placebo_ZOLS,Placebo,HC,Neural_Threat_Safety_Distance,z_Neural_Threat_Safety_Distance,dass_anxiety,z_dass_anxiety,fearnetwork_stage29_zscore,fearnetwork_stage29_zscore,3.0,1,0,"z_demo_age,Gender",demo_age:0,1,primary,general_anxiety,DASS anxiety,1,primary,Q1_geometry,Where are safety and threat in neural space?,True,True,0.9100669253167726,0.8646392637449605
ok,z_dass_anxiety,Q('z_Prototype_Certainty'),0.3790419276653664,0.2028951537983581,1.8681664917539973,0.07453113529936613,-0.04067867635674882,0.7987625316874816,27,0.14271473815648184,Q('z_dass_anxiety') ~ Q('z_Prototype_Certainty') + Q('z_demo_age') + C(Q('Gender')),PrimaryRepresentativeNeural_Aim3_Groupwise_Placebo_ZOLS,Placebo,HC,Prototype_Certainty,z_Prototype_Certainty,dass_anxiety,z_dass_anxiety,fearnetwork_stage29_zscore,fearnetwork_stage29_zscore,3.0,1,0,"z_demo_age,Gender",demo_age:0,1,primary,general_anxiety,DASS anxiety,2,primary,Q2_decision_certainty,Are safety and threat cues represented decisively or ambiguously?,True,True,0.2608589735477815,0.2235934058980984
ok,z_dass_anxiety,Q('z_Neural_DynamicDiscrimination_Volatility'),-0.036131513570863055,0.20959229077328068,-0.17238951603399902,0.8646392637449605,-0.4697062009641706,0.39744317382244443,27,0.013903430636391212,Q('z_dass_anxiety') ~ Q('z_Neural_DynamicDiscrimination_Volatility') + Q('z_demo_age') + C(Q('Gender')),PrimaryRepresentativeNeural_Aim3_Groupwise_Placebo_ZOLS,Placebo,HC,Neural_DynamicDiscrimination_Volatility,z_Neural_DynamicDiscrimination_Volatility,dass_anxiety,z_dass_anxiety,fearnetwork_stage29_zscore,fearnetwork_stage29_zscore,3.0,1,0,"z_demo_age,Gender",demo_age:0,1,primary,general_anxiety,DASS anxiety,3,primary,Q3_learning_dynamics,How do safety and threat representations change over learning?,True,True,0.9700374340366839,0.8646392637449605
ok,z_lsas_total,Q('z_Neural_Threat_Safety_Distance'),-0.02899299267440056,0.20751658578887464,-0.13971409834150678,0.8900517623014234,-0.45728617559801676,0.3993001902492156,28,0.04979350929845072,Q('z_lsas_total') ~ Q('z_Neural_Threat_Safety_Distance') + Q('z_demo_age') + C(Q('Gender')),PrimaryRepresentativeNeural_Aim3_Groupwise_Placebo_ZOLS,Placebo,HC,Neural_Threat_Safety_Distance,z_Neural_Threat_Safety_Distance,lsas_total,z_lsas_total,fearnetwork_stage29_zscore,fearnetwork_stage29_zscore,3.0,0,0,"z_demo_age,Gender",demo_age:0,2,primary,social_anxiety_total,LSAS total,1,primary,Q1_geometry,Where are safety and threat in neural space?,True,True,0.9100669253167726,0.8900517623014234
ok,z_lsas_total,Q('z_Prototype_Certainty'),0.1336407789000173,0.21125806959443547,0.6325949070564516,0.5329794918373165,-0.3023744470682504,0.569656004868285,28,0.06461725770475368,Q('z_lsas_total') ~ Q('z_Prototype_Certainty') + Q('z_demo_age') + C(Q('Gender')),PrimaryRepresentativeNeural_Aim3_Groupwise_Placebo_ZOLS,Placebo,HC,Prototype_Certainty,z_Prototype_Certainty,lsas_total,z_lsas_total,fearnetwork_stage29_zscore,fearnetwork_stage29_zscore,3.0,0,0,"z_demo_age,Gender",demo_age:0,2,primary,social_anxiety_total,LSAS total,2,primary,Q2_decision_certainty,Are safety and threat cues represented decisively or ambiguously?,True,True,0.5329794918373165,0.7994692377559748
ok,z_lsas_total,Q('z_Neural_DynamicDiscrimination_Volatility'),-0.23685117037875938,0.19719853733246118,-1.2010797523282184,0.24144006915025454,-0.6438489479343756,0.17014660717685684,28,0.10294111060985811,Q('z_lsas_total') ~ Q('z_Neural_DynamicDiscrimination_Volatility') + Q('z_demo_age') + C(Q('Gender')),PrimaryRepresentativeNeural_Aim3_Groupwise_Placebo_ZOLS,Placebo,HC,Neural_DynamicDiscrimination_Volatility,z_Neural_DynamicDiscrimination_Volatility,lsas_total,z_lsas_total,fearnetwork_stage29_zscore,fearnetwork_stage29_zscore,3.0,0,0,"z_demo_age,Gender",demo_age:0,2,primary,social_anxiety_total,LSAS total,3,primary,Q3_learning_dynamics,How do safety and threat representations change over learning?,True,True,0.8558945238373679,0.7243202074507636
ok,z_lsas_fear,Q('z_Neural_Threat_Safety_Distance'),-0.08972057747186099,0.211631037943674,-0.42394810488875595,0.6753794059240112,-0.5265055722796549,0.34706441733593285,28,0.011740291171228101,Q('z_lsas_fear') ~ Q('z_Neural_Threat_Safety_Distance') + Q('z_demo_age') + C(Q('Gender')),PrimaryRepresentativeNeural_Aim3_Groupwise_Placebo_ZOLS,Placebo,HC,Neural_Threat_Safety_Distance,z_Neural_Threat_Safety_Distance,lsas_fear,z_lsas_fear,fearnetwork_stage29_zscore,fearnetwork_stage29_zscore,3.0,0,0,"z_demo_age,Gender",demo_age:0,3,secondary,social_anxiety_subscale,LSAS fear,1,primary,Q1_geometry,Where are safety and threat in neural space?,False,True,0.9100669253167726,0.6753794059240112
ok,z_lsas_fear,Q('z_Prototype_Certainty'),0.2675394251915644,0.21100621936848543,1.2679219882346386,0.21698888898416016,-0.16795600745761935,0.7030348578407482,28,0.06684615182345988,Q('z_lsas_fear') ~ Q('z_Prototype_Certainty') + Q('z_demo_age') + C(Q('Gender')),PrimaryRepresentativeNeural_Aim3_Groupwise_Placebo_ZOLS,Placebo,HC,Prototype_Certainty,z_Prototype_Certainty,lsas_fear,z_lsas_fear,fearnetwork_stage29_zscore,fearnetwork_stage29_zscore,3.0,0,0,"z_demo_age,Gender",demo_age:0,3,secondary,social_anxiety_subscale,LSAS fear,2,primary,Q2_decision_certainty,Are safety and threat cues represented decisively or ambiguously?,False,True,0.3797305557222803,0.5003760412460493
ok,z_lsas_fear,Q('z_Neural_DynamicDiscrimination_Volatility'),-0.20097534043011897,0.20366310382393618,-0.9868028948623864,0.33358402749736615,-0.6213153274690392,0.2193646466088012,28,0.04316227073980694,Q('z_lsas_fear') ~ Q('z_Neural_DynamicDiscrimination_Volatility') + Q('z_demo_age') + C(Q('Gender')),PrimaryRepresentativeNeural_Aim3_Groupwise_Placebo_ZOLS,Placebo,HC,Neural_DynamicDiscrimination_Volatility,z_Neural_DynamicDiscrimination_Volatility,lsas_fear,z_lsas_fear,fearnetwork_stage29_zscore,fearnetwork_stage29_zscore,3.0,0,0,"z_demo_age,Gender",demo_age:0,3,secondary,social_anxiety_subscale,LSAS fear,3,primary,Q3_learning_dynamics,How do safety and threat representations change over learning?,False,True,0.8558945238373679,0.5003760412460493
