AnalysisSet,Effect,Contrast,Test,Group,N,Mean,SE,t,p,Cohen_d
Physiological responders,Extinction: Early condition contrast,CSR - CS-,SAD vs HC,SAD-HC,57,-0.03481038323920741,,-1.5216607279527299,0.13386249243132942,-0.4012094500729963
Physiological responders,Extinction: Late condition contrast,CS+ - CS-,HC vs 0,HC,31,0.014012313002509488,0.0122217466585828,1.1465065832197767,0.1303240978769273,0.20591866115487373
Physiological responders,Extinction: Late condition contrast,CS+ - CS-,SAD vs 0,SAD,26,-0.016520943066595656,0.017434810004128797,-0.9475837742242832,0.823794185585417,-0.18583646752052002
Physiological responders,Extinction: Late condition contrast,CS+ - CS-,SAD vs HC,SAD-HC,57,-0.030533256069105143,,-1.4340336151491857,0.15828354957785604,-0.39035852616647443
Physiological responders,Extinction: Late condition contrast,CSS - CS-,HC vs 0,HC,31,0.021546747801515605,0.01714239425987741,1.2569275606935957,0.10923915585143477,0.2257508541641507
Physiological responders,Extinction: Late condition contrast,CSS - CS-,SAD vs 0,SAD,26,-0.022920121462084126,0.021175468786647864,-1.0823902740012232,0.8552953975419446,-0.21227419724827992
Physiological responders,Extinction: Late condition contrast,CSS - CS-,SAD vs HC,SAD-HC,57,-0.04446686926359973,,-1.6321418217780224,0.1088769022463862,-0.4388227500580068
Physiological responders,Extinction: Late condition contrast,CSR - CS-,HC vs 0,HC,31,0.006477878203503368,0.01048522551044986,0.6178100983185664,0.27068122804210004,0.11096196930369762
Physiological responders,Extinction: Late condition contrast,CSR - CS-,SAD vs 0,SAD,26,-0.01012176467110719,0.015444310569234402,-0.6553717387210599,0.7408928631671383,-0.128528972476766
Physiological responders,Extinction: Late condition contrast,CSR - CS-,SAD vs HC,SAD-HC,57,-0.01659964287461056,,-0.8892382064154943,0.3785698018860002,-0.24270099885898536
Simple CS+ learners,Extinction: All condition contrast,CS+ - CS-,HC vs 0,HC,20,0.01737548550391395,0.015616775170670068,1.1126167415502606,0.13987632459717092,0.24878866670106978
Simple CS+ learners,Extinction: All condition contrast,CS+ - CS-,SAD vs 0,SAD,19,-0.02319898185647055,0.014563795923905241,-1.5929213769324644,0.93570686903204,-0.365441226687067
Simple CS+ learners,Extinction: All condition contrast,CS+ - CS-,SAD vs HC,SAD-HC,39,-0.0405744673603845,,-1.9000989018423615,0.06524879879467275,-0.6071953106973346
Simple CS+ learners,Extinction: All condition contrast,CSS - CS-,HC vs 0,HC,20,0.022431740604563315,0.019104232943398514,1.1741764597941957,0.12741611770707398,0.262553838167987
Simple CS+ learners,Extinction: All condition contrast,CSS - CS-,SAD vs 0,SAD,19,-0.023918070341509612,0.016302751960730062,-1.4671185821340635,0.9202005053572653,-0.3365800861954242
Simple CS+ learners,Extinction: All condition contrast,CSS - CS-,SAD vs HC,SAD-HC,39,-0.04634981094607293,,-1.8455203672904592,0.07311249929162725,-0.5884047999528882
Simple CS+ learners,Extinction: All condition contrast,CSR - CS-,HC vs 0,HC,20,0.012319230403264596,0.014899481678362417,0.8268227492205344,0.20930035318885715,0.1848831872600376
Simple CS+ learners,Extinction: All condition contrast,CSR - CS-,SAD vs 0,SAD,19,-0.022479893371431484,0.016146583339143195,-1.3922384011071138,0.909593349260841,-0.319401394512766
Simple CS+ learners,Extinction: All condition contrast,CSR - CS-,SAD vs HC,SAD-HC,39,-0.03479912377469608,,-1.5838959261891532,0.12182615561578726,-0.5081507141381945
Simple CS+ learners,Extinction: Early condition contrast,CS+ - CS-,HC vs 0,HC,20,0.009400223886426636,0.023714248908628065,0.39639559838669436,0.34811493004022964,0.08863675039743546
Simple CS+ learners,Extinction: Early condition contrast,CS+ - CS-,SAD vs 0,SAD,19,-0.019768996381170977,0.015963536759813834,-1.238384493274504,0.884259079419272,-0.2841048873384941
Simple CS+ learners,Extinction: Early condition contrast,CS+ - CS-,SAD vs HC,SAD-HC,39,-0.029169220267597613,,-1.0203768867310596,0.31497818188145493,-0.32348116068780486
Simple CS+ learners,Extinction: Early condition contrast,CSS - CS-,HC vs 0,HC,20,0.00743972952599044,0.02609302946128126,0.2851232562715668,0.38931725217279756,0.06375549829893166
Simple CS+ learners,Extinction: Early condition contrast,CSS - CS-,SAD vs 0,SAD,19,-0.01721562420298051,0.014218176097519882,-1.2108180462037939,0.8791879495272741,-0.27778071065356313
Simple CS+ learners,Extinction: Early condition contrast,CSS - CS-,SAD vs HC,SAD-HC,39,-0.02465535372897095,,-0.8297174377055714,0.4134221098846139,-0.26191989546014904
Simple CS+ learners,Extinction: Early condition contrast,CSR - CS-,HC vs 0,HC,20,0.011360718246862838,0.024344498391409283,0.4666647085598536,0.3230231368053076,0.10434940110399607
Simple CS+ learners,Extinction: Early condition contrast,CSR - CS-,SAD vs 0,SAD,19,-0.02232236855936144,0.02133715175798793,-1.046173772982829,0.8453365036682902,-0.24000872388499023
Simple CS+ learners,Extinction: Early condition contrast,CSR - CS-,SAD vs HC,SAD-HC,39,-0.03368308680622428,,-1.0405094482871358,0.3049276799682796,-0.3319710026055281
Simple CS+ learners,Extinction: Late condition contrast,CS+ - CS-,HC vs 0,HC,20,0.025350747121401264,0.016083015305214807,1.5762434245263361,0.06573711001794952,0.3524587446327947
Simple CS+ learners,Extinction: Late condition contrast,CS+ - CS-,SAD vs 0,SAD,19,-0.026628967331770125,0.022967077726723528,-1.1594408156152043,0.8692868141339329,-0.2659939655938448
Simple CS+ learners,Extinction: Late condition contrast,CS+ - CS-,SAD vs HC,SAD-HC,39,-0.051979714453171386,,-1.8538780773084633,0.07283408547636717,-0.5989245197420602
Simple CS+ learners,Extinction: Late condition contrast,CSS - CS-,HC vs 0,HC,20,0.03742375168313617,0.02391178968855346,1.565075310989828,0.06703431817865434,0.3499614785279879
Simple CS+ learners,Extinction: Late condition contrast,CSS - CS-,SAD vs 0,SAD,19,-0.03062051648003871,0.02839881475092189,-1.0782321990760089,0.8524159042707167,-0.24736343123389223
Simple CS+ learners,Extinction: Late condition contrast,CSS - CS-,SAD vs HC,SAD-HC,39,-0.06804426816317488,,-1.8328417478092276,0.07519727338924677,-0.5894233434531825
Simple CS+ learners,Extinction: Late condition contrast,CSR - CS-,HC vs 0,HC,20,0.013277742559666341,0.013725304586014933,0.9673914685431005,0.17275100200641735,0.21631530845157224
Simple CS+ learners,Extinction: Late condition contrast,CSR - CS-,SAD vs 0,SAD,19,-0.022637418183501536,0.019507514365526946,-1.1604460598786308,0.8694862203758342,-0.26622458444425795
Simple CS+ learners,Extinction: Late condition contrast,CSR - CS-,SAD vs HC,SAD-HC,39,-0.035915160743167876,,-1.5057383194191087,0.14174806896376793,-0.4863978480023864
Habituation-adjusted CS+ learners,Extinction: All condition contrast,CS+ - CS-,HC vs 0,HC,14,0.036271561005354384,0.018988690448300313,1.9101665332904023,0.03921075050630297,0.5105134799467433
Habituation-adjusted CS+ learners,Extinction: All condition contrast,CS+ - CS-,SAD vs 0,SAD,16,-0.01830234820047366,0.01686067705211936,-1.0855049381408493,0.8525819493844913,-0.2713762345352123
Habituation-adjusted CS+ learners,Extinction: All condition contrast,CS+ - CS-,SAD vs HC,SAD-HC,30,-0.054573909205828046,,-2.1490908274161495,0.04074291409633324,-0.7893185562154408
Habituation-adjusted CS+ learners,Extinction: All condition contrast,CSS - CS-,HC vs 0,HC,14,0.04232543488136447,0.023673475457206085,1.7878842909176997,0.04855755759735691,0.4778321759863787
