AnalysisSet,Effect,Contrast,Test,Group,N,Mean,SE,t,p,Cohen_d
Physiological responders,Reinstatement: All condition contrast,CSS - CS-,SAD vs 0,SAD,26,0.01992828265120676,0.012130066437113044,1.6428832236428947,0.056463648869641524,0.32219590830420536
Physiological responders,Reinstatement: All condition contrast,CSS - CS-,SAD vs HC,SAD-HC,57,0.006306579343290646,,0.4225597506074474,0.6745450940298124,0.11480982876178585
Physiological responders,Reinstatement: All condition contrast,CSR - CS-,HC vs 0,HC,31,0.009276914615321371,0.010290546893487486,0.901498696944124,0.187252068759363,0.1619139457413934
Physiological responders,Reinstatement: All condition contrast,CSR - CS-,SAD vs 0,SAD,26,0.02879213952973543,0.012485283396801128,2.306086182802411,0.014839678507087943,0.4522607094667766
Physiological responders,Reinstatement: All condition contrast,CSR - CS-,SAD vs HC,SAD-HC,57,0.01951522491441406,,1.2061665295787436,0.23332764798574898,0.3237803223486475
Physiological responders,Reinstatement: Early condition contrast,CS+ - CS-,HC vs 0,HC,31,0.00853092452413752,0.014555373791282843,0.586101370288866,0.2810957668274888,0.10526691362903841
Physiological responders,Reinstatement: Early condition contrast,CS+ - CS-,SAD vs 0,SAD,26,0.03761221326520673,0.018927005934243516,1.9872246775786746,0.028979236195259137,0.38972682341795356
Physiological responders,Reinstatement: Early condition contrast,CS+ - CS-,SAD vs HC,SAD-HC,57,0.02908128874106921,,1.217984500603492,0.2290594419478366,0.32894381912576637
Physiological responders,Reinstatement: Early condition contrast,CSS - CS-,HC vs 0,HC,31,0.011807948673551779,0.01639731916053845,0.7201145844601607,0.23851399690681274,0.12933639743585268
Physiological responders,Reinstatement: Early condition contrast,CSS - CS-,SAD vs 0,SAD,26,0.03395202122786244,0.02156904341541197,1.5741088083490213,0.0640169212011759,0.3087081357803825
Physiological responders,Reinstatement: Early condition contrast,CSS - CS-,SAD vs HC,SAD-HC,57,0.022144072554310664,,0.8172993486916884,0.4177384652787791,0.22094987975768027
Physiological responders,Reinstatement: Early condition contrast,CSR - CS-,HC vs 0,HC,31,0.005253900374723253,0.016391931070975585,0.32051747606638525,0.37539902791420277,0.057566638093762716
Physiological responders,Reinstatement: Early condition contrast,CSR - CS-,SAD vs 0,SAD,26,0.04127240530255106,0.021315722564248046,1.9362423759340675,0.03211065788433717,0.3797283714589642
Physiological responders,Reinstatement: Early condition contrast,CSR - CS-,SAD vs HC,SAD-HC,57,0.03601850492782781,,1.3394912629653355,0.1865877333523059,0.3617602465730616
Physiological responders,Reinstatement: Late condition contrast,CS+ - CS-,HC vs 0,HC,31,0.014367693399099967,0.011281069442128177,1.2736109349212106,0.10629055872319929,0.2287472766311272
Physiological responders,Reinstatement: Late condition contrast,CS+ - CS-,SAD vs 0,SAD,26,0.011108208915735456,0.011530211393549249,0.963400282665252,0.17228680296487697,0.18893834002734328
Physiological responders,Reinstatement: Late condition contrast,CS+ - CS-,SAD vs HC,SAD-HC,57,-0.0032594844833645116,,-0.20206371955225558,0.8406219992783384,-0.05341930818781344
Physiological responders,Reinstatement: Late condition contrast,CSS - CS-,HC vs 0,HC,31,0.015435457942280451,0.010368908790917487,1.4886289631365015,0.07351145254227168,0.2673656545299361
Physiological responders,Reinstatement: Late condition contrast,CSS - CS-,SAD vs 0,SAD,26,0.005904544074551105,0.013773417468822583,0.42869128797675615,0.33590959462027387,0.08407327856541168
Physiological responders,Reinstatement: Late condition contrast,CSS - CS-,SAD vs HC,SAD-HC,57,-0.009530913867729345,,-0.55283379185627,0.5829212071082348,-0.1495800345220858
Physiological responders,Reinstatement: Late condition contrast,CSR - CS-,HC vs 0,HC,31,0.01329992885591948,0.015122528398748754,0.8794778561645766,0.1930664606165503,0.15795888598229926
Physiological responders,Reinstatement: Late condition contrast,CSR - CS-,SAD vs 0,SAD,26,0.016311873756919816,0.014607503922033156,1.1166776914100898,0.1373750265675955,0.21899851303437654
Physiological responders,Reinstatement: Late condition contrast,CSR - CS-,SAD vs HC,SAD-HC,57,0.003011944901000336,,0.14325226035763244,0.8866161779623105,0.037682567654765756
