AnalysisSet,Subject,Phase,CSplus_minus_CSminus,CSS_minus_CSminus,CSR_minus_CSminus
All subjects,N221,Extinction,-0.00021438027415565664,-0.0016698734539989657,0.0012411129056876524
All subjects,N222,Extinction,0.019664152312137327,0.021650635094610966,0.017677669529663688
All subjects,N224,Extinction,0.0012945866448422771,0.0021526218866114166,0.0004365514030731099
All subjects,N225,Extinction,-0.03156132235693618,-0.04225260414885409,-0.020870040565018275
All subjects,N226,Extinction,0.0,0.0,0.0
All subjects,N227,Extinction,0.07014807203116297,0.12301165851790741,0.017284485544418526
All subjects,N228,Extinction,-0.04833465988169658,-0.02782216733819301,-0.06884715242520013
All subjects,N230,Extinction,0.003960920689511205,0.0032388311336882004,0.004683010245334209
All subjects,N231,Extinction,0.011225903931812359,0.05196935303919489,-0.029517545175570148
All subjects,N232,Extinction,-0.028588113160993057,-0.025269303036520765,-0.031906923285465336
All subjects,N233,Extinction,-0.04206521165111515,0.005118991189949823,-0.0892494144921801
All subjects,N234,Extinction,-0.008838834764831844,-0.017677669529663688,0.0
All subjects,N235,Extinction,-0.01976423537605237,-0.01976423537605237,-0.01976423537605237
All subjects,N236,Extinction,-0.029315098498896436,-0.029315098498896436,-0.029315098498896436
All subjects,N237,Extinction,0.009858413845850317,0.017333699182856405,0.002383128508844229
All subjects,N238,Extinction,-0.0043129235075467145,0.010739069715943655,-0.019364916731037084
All subjects,N240,Extinction,0.05796511813740372,0.04514075459075366,0.07078948168405384
All subjects,N241,Extinction,0.02743222694354841,0.03793910582236487,0.01692534806473195
All subjects,N242,Extinction,-0.009905216202795858,-0.0008532437954628241,-0.018957188610128878
All subjects,N243,Extinction,0.023314620622878993,0.019626442396021668,0.027002798849736304
All subjects,N244,Extinction,-0.008432407682825271,-0.006657978173945339,-0.010206837191705204
All subjects,N246,Extinction,-0.03883444870624442,-0.008615917823676739,-0.0690529795888121
All subjects,N247,Extinction,-0.03820254489164543,-0.047134455604959796,-0.029270634178331034
All subjects,N248,Extinction,-0.039626993010165285,-0.020906040557307257,-0.05834794546302331
All subjects,N249,Extinction,-0.010326353428762813,-0.0004064162743189492,-0.02024629058320669
All subjects,N250,Extinction,0.01873956883188694,0.01936491673103708,0.018114220932736798
All subjects,N251,Extinction,0.005048492169020508,0.008097884649336418,0.0019990996887045698
All subjects,N252,Extinction,0.2562991321322333,0.30283886718239506,0.2097593970820717
All subjects,N253,Extinction,0.016630209279947045,0.0268375605817279,0.0064228579781661355
All subjects,N254,Extinction,0.011325559827914111,0.028102749963498125,-0.005451630307669875
All subjects,N255,Extinction,0.006302627416661599,0.004152321106711598,0.0084529337266116
All subjects,N257,Extinction,-0.003435976489518988,-0.002824693618722257,-0.004047259360315747
All subjects,N258,Extinction,0.0017881691487321438,0.0019794851694555637,0.001596853128008724
