AnalysisSet,Effect,Contrast,Test,Group,N,Mean,SE,t,p,Cohen_d
Simple CS+ learners,Extinction: late minus early discrimination,CS+ - CS-,HC vs 0,HC,20,0.015950523234974624,0.025817112508784816,0.6178275447940633,0.7279879728021681,0.1381504388531322
Simple CS+ learners,Extinction: late minus early discrimination,CS+ - CS-,SAD vs 0,SAD,19,-0.006859970950599146,0.026762393830185277,-0.25632874974217706,0.40030184408318764,-0.05880584823422512
Simple CS+ learners,Extinction: late minus early discrimination,CS+ - CS-,SAD vs HC,SAD-HC,39,-0.022810494185573772,,-0.6134271790928338,0.5433616762363479,-0.19657191508158545
Simple CS+ learners,Extinction: late minus early discrimination,CSS - CS-,HC vs 0,HC,20,0.029984022157145733,0.032331917353155465,0.9273815044630941,0.817319938211974,0.20736880850555026
Simple CS+ learners,Extinction: late minus early discrimination,CSS - CS-,SAD vs 0,SAD,19,-0.013404892277058206,0.03088979662642953,-0.4339585798887677,0.334737639105419,-0.09955692607460845
Simple CS+ learners,Extinction: late minus early discrimination,CSS - CS-,SAD vs HC,SAD-HC,39,-0.04338891443420394,,-0.9703190546514107,0.33819033057684356,-0.3102710978846851
Simple CS+ learners,Extinction: late minus early discrimination,CSR - CS-,HC vs 0,HC,20,0.0019170243128035058,0.025963415774527713,0.07383559734402387,0.5290434969530494,0.016510141482054028
Simple CS+ learners,Extinction: late minus early discrimination,CSR - CS-,SAD vs 0,SAD,19,-0.00031504962414009266,0.025075599885500423,-0.01256399151281183,0.4950569288311364,-0.0028823773332552357
Simple CS+ learners,Extinction: late minus early discrimination,CSR - CS-,SAD vs HC,SAD-HC,39,-0.0022320739369435984,,-0.06183802202712736,0.9510246864112663,-0.019779063729798343
Habituation-adjusted CS+ learners,Extinction: late minus early discrimination,CS+ - CS-,HC vs 0,HC,14,0.015809833852232703,0.03381765155084352,0.4675024174420638,0.6760598801795417,0.12494527668262663
Habituation-adjusted CS+ learners,Extinction: late minus early discrimination,CS+ - CS-,SAD vs 0,SAD,16,-0.01018992715295587,0.03138768709418804,-0.3246472772070774,0.3749657389046329,-0.08116181930176936
Habituation-adjusted CS+ learners,Extinction: late minus early discrimination,CS+ - CS-,SAD vs HC,SAD-HC,30,-0.025999761005188575,,-0.56350767865214,0.577670038956812,-0.206333811302007
Habituation-adjusted CS+ learners,Extinction: late minus early discrimination,CSS - CS-,HC vs 0,HC,14,0.03338428217275248,0.0442170630855757,0.7550090359493585,0.7681484151066302,0.20178465260292786
Habituation-adjusted CS+ learners,Extinction: late minus early discrimination,CSS - CS-,SAD vs 0,SAD,16,-0.01612611623865924,0.03620997250210597,-0.44535013766501336,0.33121335931348383,-0.11133753441625334
Habituation-adjusted CS+ learners,Extinction: late minus early discrimination,CSS - CS-,SAD vs HC,SAD-HC,30,-0.04951039841141172,,-0.8662987130872167,0.39421846619526235,-0.3199417204203743
Habituation-adjusted CS+ learners,Extinction: late minus early discrimination,CSR - CS-,HC vs 0,HC,14,-0.0017646144682870754,0.03253676181144132,-0.054234483397993256,0.47878648095746135,-0.014494775387426441
Habituation-adjusted CS+ learners,Extinction: late minus early discrimination,CSR - CS-,SAD vs 0,SAD,16,-0.004253738067252502,0.029389164794920538,-0.14473831076641194,0.4434221685525582,-0.036184577691602986
Habituation-adjusted CS+ learners,Extinction: late minus early discrimination,CSR - CS-,SAD vs HC,SAD-HC,30,-0.002489123598965427,,-0.05677127707388232,0.9551426329778463,-0.020826383139457644
Late-phase sensitivity CS+ learners,Extinction: late minus early discrimination,CS+ - CS-,HC vs 0,HC,11,-0.004271413416606449,0.0276872975412839,-0.15427339595846948,0.44023164766382306,-0.04651517904801585
Late-phase sensitivity CS+ learners,Extinction: late minus early discrimination,CS+ - CS-,SAD vs 0,SAD,11,-0.014185412799992081,0.04355023381577006,-0.3257252959880866,0.3756727834493746,-0.09820987195635802
Late-phase sensitivity CS+ learners,Extinction: late minus early discrimination,CS+ - CS-,SAD vs HC,SAD-HC,22,-0.009913999383385632,,-0.19210834797951418,0.8499402596073303,-0.08191527481425062
Late-phase sensitivity CS+ learners,Extinction: late minus early discrimination,CSS - CS-,HC vs 0,HC,11,0.017895836437121667,0.029427288471961653,0.6081374590177697,0.7216722739796759,0.18336034295655237
Late-phase sensitivity CS+ learners,Extinction: late minus early discrimination,CSS - CS-,SAD vs 0,SAD,11,-0.03143773100619849,0.04758164740895717,-0.6607112766818659,0.26186288107588707,-0.1992119454100402
Late-phase sensitivity CS+ learners,Extinction: late minus early discrimination,CSS - CS-,SAD vs HC,SAD-HC,22,-0.04933356744332015,,-0.8818035563466036,0.39041843779881424,-0.3760022997960416
Late-phase sensitivity CS+ learners,Extinction: late minus early discrimination,CSR - CS-,HC vs 0,HC,11,-0.026438663270334575,0.0319748171369384,-0.8268589358026923,0.21380306562360984,-0.24930734951000846
