AnalysisSet,Effect,Contrast,Test,Group,N,Mean,SE,t,p,Cohen_d
Simple CS+ learners,Acquisition: All condition contrast,CSS - CS-,SAD vs 0,SAD,20,0.0624728543042304,0.017930854814952903,3.4840979389411504,0.0012416723456793982,0.7790679831739322
Simple CS+ learners,Acquisition: All condition contrast,CSS - CS-,SAD vs HC,SAD-HC,41,-0.009068745152202545,,-0.3890205642317458,0.6994689530470317,-0.12203202970501814
Simple CS+ learners,Acquisition: All condition contrast,CSR - CS-,HC vs 0,HC,21,0.06045704070851317,0.01900586226130223,3.180968054872708,0.002347850969278308,0.6941441378424108
Simple CS+ learners,Acquisition: All condition contrast,CSR - CS-,SAD vs 0,SAD,20,0.04102073375567527,0.013343913675322078,3.074115642065195,0.003122472313336167,0.6873931546353188
Simple CS+ learners,Acquisition: All condition contrast,CSR - CS-,SAD vs HC,SAD-HC,41,-0.0194363069528379,,-0.8369614432205229,0.40821371065108736,-0.2591499393361571
Simple CS+ learners,Acquisition: Early condition contrast,CS+ - CS-,HC vs 0,HC,21,0.07770660112479505,0.021961849808913934,3.5382539176301657,0.00103192976853302,0.7721103050244896
Simple CS+ learners,Acquisition: Early condition contrast,CS+ - CS-,SAD vs 0,SAD,20,0.08668190043520885,0.01876715991836307,4.618807577293214,9.365974661111643e-05,1.032796771781874
Simple CS+ learners,Acquisition: Early condition contrast,CS+ - CS-,SAD vs HC,SAD-HC,41,0.008975299310413798,,0.31069065300719223,0.757718266658655,0.09663717423425489
Simple CS+ learners,Acquisition: Early condition contrast,CSS - CS-,HC vs 0,HC,21,0.09478206488990061,0.01904794610394276,4.9759729669899455,3.631723515137252e-05,1.0858463227278772
Simple CS+ learners,Acquisition: Early condition contrast,CSS - CS-,SAD vs 0,SAD,20,0.10698946840360972,0.026771958700335576,3.9963257676125368,0.00038632499999449076,0.893605607661566
Simple CS+ learners,Acquisition: Early condition contrast,CSS - CS-,SAD vs HC,SAD-HC,41,0.012207403513709109,,0.37153480222308,0.7125005238165543,0.1169743604819917
Simple CS+ learners,Acquisition: Early condition contrast,CSR - CS-,HC vs 0,HC,21,0.0606311373596895,0.030043026595022507,2.018143450624738,0.028595453618038856,0.44039500598891607
Simple CS+ learners,Acquisition: Early condition contrast,CSR - CS-,SAD vs 0,SAD,20,0.06637433246680798,0.020378789599529913,3.257030165733644,0.002073827862569908,0.7282940855347835
Simple CS+ learners,Acquisition: Early condition contrast,CSR - CS-,SAD vs HC,SAD-HC,41,0.005743195107118473,,0.15820342512854768,0.8752091939423919,0.04894860456546004
Simple CS+ learners,Acquisition: Late condition contrast,CS+ - CS-,HC vs 0,HC,21,0.05429203904015108,0.014651626867997846,3.7055297360005808,0.0006995421282340962,0.8086128811967805
Simple CS+ learners,Acquisition: Late condition contrast,CS+ - CS-,SAD vs 0,SAD,20,0.016811687624696814,0.012205132960032079,1.377427651116111,0.0921955152415957,0.30800218619834885
Simple CS+ learners,Acquisition: Late condition contrast,CS+ - CS-,SAD vs HC,SAD-HC,41,-0.03748035141545426,,-1.9654887048058802,0.056681034612931204,-0.6109699691065711
Simple CS+ learners,Acquisition: Late condition contrast,CSS - CS-,HC vs 0,HC,21,0.048301134022965285,0.020007218205886114,2.414185396786202,0.012737901573825719,0.5268184439252271
Simple CS+ learners,Acquisition: Late condition contrast,CSS - CS-,SAD vs 0,SAD,20,0.017956240204851065,0.016152226392384658,1.1116882446197602,0.14007089578819992,0.24858104847571988
Simple CS+ learners,Acquisition: Late condition contrast,CSS - CS-,SAD vs HC,SAD-HC,41,-0.03034489381811422,,-1.1801160524497678,0.24534579780900737,-0.3665641561630717
Simple CS+ learners,Acquisition: Late condition contrast,CSR - CS-,HC vs 0,HC,21,0.06028294405733688,0.018560817801386312,3.247860342276208,0.0020151701693922296,0.7087412316726622
Simple CS+ learners,Acquisition: Late condition contrast,CSR - CS-,SAD vs 0,SAD,20,0.015667135044542563,0.013027684507922034,1.2026031974458316,0.12195155164320237,0.26891024994474805
Simple CS+ learners,Acquisition: Late condition contrast,CSR - CS-,SAD vs HC,SAD-HC,41,-0.04461580901279432,,-1.9674893092359567,0.056980276279137404,-0.6091935714365719
Habituation-adjusted CS+ learners,Acquisition: All condition contrast,CS+ - CS-,HC vs 0,HC,15,0.08987568958202816,0.017133897118954758,5.245490209148108,6.193035536608648e-05,1.3543797481816455
Habituation-adjusted CS+ learners,Acquisition: All condition contrast,CS+ - CS-,SAD vs 0,SAD,17,0.058344308230403555,0.014232323568460253,4.099422553861712,0.0004187845400550795,0.9942560113888906
Habituation-adjusted CS+ learners,Acquisition: All condition contrast,CS+ - CS-,SAD vs HC,SAD-HC,32,-0.0315313813516246,,-1.4156160795708363,0.16782787973481444,-0.5054554725225687
Habituation-adjusted CS+ learners,Acquisition: All condition contrast,CSS - CS-,HC vs 0,HC,15,0.09495691851179494,0.017238434317120556,5.508442168526137,3.852909370084174e-05,1.422273652149893
Habituation-adjusted CS+ learners,Acquisition: All condition contrast,CSS - CS-,SAD vs 0,SAD,17,0.06752768030221507,0.020464478961593317,3.29975077444911,0.0022608381263008594,0.8003071165451388
Habituation-adjusted CS+ learners,Acquisition: All condition contrast,CSS - CS-,SAD vs HC,SAD-HC,32,-0.027429238209579876,,-1.0251084567157513,0.3135942063768349,-0.35778967722318655
Habituation-adjusted CS+ learners,Acquisition: All condition contrast,CSR - CS-,HC vs 0,HC,15,0.08479446065226134,0.023601154035730487,3.592809933102784,0.0014700660720513147,0.9276595357997109
Habituation-adjusted CS+ learners,Acquisition: All condition contrast,CSR - CS-,SAD vs 0,SAD,17,0.04916093615859208,0.014201299834833196,3.4617208798035004,0.0016065323114597485,0.8395906372844665
Habituation-adjusted CS+ learners,Acquisition: All condition contrast,CSR - CS-,SAD vs HC,SAD-HC,32,-0.035633524493669265,,-1.2936780304118436,0.20845454951374578,-0.4708374224441437
Habituation-adjusted CS+ learners,Acquisition: Early condition contrast,CS+ - CS-,HC vs 0,HC,15,0.11319362778139676,0.02456263214190704,4.608367178543285,0.00020297521842124367,1.1898752890471338
Habituation-adjusted CS+ learners,Acquisition: Early condition contrast,CS+ - CS-,SAD vs 0,SAD,17,0.09331903870591331,0.020631794444940878,4.523069428349993,0.00017330681195416506,1.097005470887595
Habituation-adjusted CS+ learners,Acquisition: Early condition contrast,CS+ - CS-,SAD vs HC,SAD-HC,32,-0.01987458907548345,,-0.6195719827713095,0.5404844137115548,-0.22106528616784957
Habituation-adjusted CS+ learners,Acquisition: Early condition contrast,CSS - CS-,HC vs 0,HC,15,0.11738557150263942,0.02338060301371578,5.020639178287123,9.360807577867872e-05,1.2963234616548345
Habituation-adjusted CS+ learners,Acquisition: Early condition contrast,CSS - CS-,SAD vs 0,SAD,17,0.10689630482303143,0.029069920335239974,3.67721354548903,0.0010190640419287071,0.8918552856472519
Habituation-adjusted CS+ learners,Acquisition: Early condition contrast,CSS - CS-,SAD vs HC,SAD-HC,32,-0.010489266679607992,,-0.2811708579279712,0.7805517105014292,-0.09786208100633022
Habituation-adjusted CS+ learners,Acquisition: Early condition contrast,CSR - CS-,HC vs 0,HC,15,0.10900168406015412,0.0321889899849014,3.3863033326389727,0.002216008584549403,0.8743397608344944
Habituation-adjusted CS+ learners,Acquisition: Early condition contrast,CSR - CS-,SAD vs 0,SAD,17,0.07974177258879518,0.022437375173108252,3.5539706393271735,0.001322118675338818,0.8619644903699919
Habituation-adjusted CS+ learners,Acquisition: Early condition contrast,CSR - CS-,SAD vs HC,SAD-HC,32,-0.029259911471358938,,-0.7457164574755151,0.46262680474517537,-0.2691609175299579
Habituation-adjusted CS+ learners,Acquisition: Late condition contrast,CS+ - CS-,HC vs 0,HC,15,0.06655775138265954,0.018670029377384878,3.564951615088584,0.0015536460554346583,0.9204665490182213
Habituation-adjusted CS+ learners,Acquisition: Late condition contrast,CS+ - CS-,SAD vs 0,SAD,17,0.023369577754893834,0.011889406597084177,1.9655798263830184,0.03347494152842544,0.47672313175061226
Habituation-adjusted CS+ learners,Acquisition: Late condition contrast,CS+ - CS-,SAD vs HC,SAD-HC,32,-0.04318817362776571,,-1.951186194469374,0.0627146621421537,-0.7079423715507476
Habituation-adjusted CS+ learners,Acquisition: Late condition contrast,CSS - CS-,HC vs 0,HC,15,0.07252826552095042,0.023712650887385424,3.0586316926520327,0.004251444001900732,0.789735307188235
Habituation-adjusted CS+ learners,Acquisition: Late condition contrast,CSS - CS-,SAD vs 0,SAD,17,0.0281590557813987,0.01743672587890991,1.6149279387053779,0.06293558270192155,0.3916775570025457
Habituation-adjusted CS+ learners,Acquisition: Late condition contrast,CSS - CS-,SAD vs HC,SAD-HC,32,-0.04436920973955172,,-1.507440613317145,0.14354392872398425,-0.5423536288393092
Habituation-adjusted CS+ learners,Acquisition: Late condition contrast,CSR - CS-,HC vs 0,HC,15,0.06058723724436864,0.02424515152431756,2.4989424043648665,0.012759374581053657,0.64522415434911
Habituation-adjusted CS+ learners,Acquisition: Late condition contrast,CSR - CS-,SAD vs 0,SAD,17,0.018580099728388963,0.011387958839472549,1.6315566283913199,0.06114814442707021,0.3957106066490608
Habituation-adjusted CS+ learners,Acquisition: Late condition contrast,CSR - CS-,SAD vs HC,SAD-HC,32,-0.042007137515979676,,-1.5682244038531934,0.13250995096490356,-0.5775243575608959
Late-phase sensitivity CS+ learners,Acquisition: All condition contrast,CS+ - CS-,HC vs 0,HC,11,0.03825848253837036,0.022170326511228643,1.7256616639810658,0.05755871470022969,0.5203065685932321
Late-phase sensitivity CS+ learners,Acquisition: All condition contrast,CS+ - CS-,SAD vs 0,SAD,11,0.018759199087302784,0.008417822226762505,2.228509771525262,0.024984283355564522,0.6719209776172667
Late-phase sensitivity CS+ learners,Acquisition: All condition contrast,CS+ - CS-,SAD vs HC,SAD-HC,22,-0.019499283451067575,,-0.822247418043308,0.42596008924622464,-0.3506074770967687
Late-phase sensitivity CS+ learners,Acquisition: All condition contrast,CSS - CS-,HC vs 0,HC,11,0.05681575182699212,0.019173288717942893,2.9632762883199253,0.007104135365234397,0.8934614180467456
Late-phase sensitivity CS+ learners,Acquisition: All condition contrast,CSS - CS-,SAD vs 0,SAD,11,0.024891416751942372,0.014526872050963271,1.7134739443300755,0.05869959207537148,0.5166318328539252
Late-phase sensitivity CS+ learners,Acquisition: All condition contrast,CSS - CS-,SAD vs HC,SAD-HC,22,-0.03192433507504974,,-1.327136988858736,0.20049511471866827,-0.5658931134534206
Late-phase sensitivity CS+ learners,Acquisition: All condition contrast,CSR - CS-,HC vs 0,HC,11,0.01970121324974856,0.02743195098461144,0.7181849100270116,0.2445412375233587,0.21654089787770447
Late-phase sensitivity CS+ learners,Acquisition: All condition contrast,CSR - CS-,SAD vs 0,SAD,11,0.012626981422663209,0.015601150145145843,0.8093622140154827,0.21857042096224072,0.24403188939824388
Late-phase sensitivity CS+ learners,Acquisition: All condition contrast,CSR - CS-,SAD vs HC,SAD-HC,22,-0.007074231827085352,,-0.22416598660056858,0.8254910664194912,-0.09558469785160678
